"REF_DATE","GEO","DGUID","Estimates","Consumption category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Recreation and culture","Dollars","81","millions","6","v1039061586","3.1.10","287.5","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Education","Dollars","81","millions","6","v1039061587","3.1.11","49.9","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Food, beverage and accommodation services","Dollars","81","millions","6","v1039061588","3.1.12","271.9","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Insurance and financial services","Dollars","81","millions","6","v1039061589","3.1.13","270.2","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061590","3.1.14","184.5","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Net expenditure abroad","Dollars","81","millions","6","v1039061591","3.1.15","-63.6","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of general governments","Total consumption","Dollars","81","millions","6","v1039061592","3.2.1","921.0","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of general governments","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061593","3.2.5","10.5","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of general governments","Health","Dollars","81","millions","6","v1039061594","3.2.7","477.3","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of general governments","Recreation and culture","Dollars","81","millions","6","v1039061595","3.2.10","52.8","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of general governments","Education","Dollars","81","millions","6","v1039061596","3.2.11","329.4","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of general governments","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061597","3.2.14","51.0","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of non-profit institutions serving households","Total consumption","Dollars","81","millions","6","v1039061598","3.3.1","67.0","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of non-profit institutions serving households","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061599","3.3.5","1.1","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of non-profit institutions serving households","Health","Dollars","81","millions","6","v1039061600","3.3.7","0.9","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of non-profit institutions serving households","Recreation and culture","Dollars","81","millions","6","v1039061601","3.3.10","3.7","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of non-profit institutions serving households","Education","Dollars","81","millions","6","v1039061602","3.3.11","3.4","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of non-profit institutions serving households","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061603","3.3.14","9.6","","","","1"
"2008","Prince Edward Island","2016A000211","Individual consumption expenditures of non-profit institutions serving households","Other services","Dollars","81","millions","6","v1039061604","3.3.16","48.3","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Total consumption","Dollars","81","millions","6","v1039061605","3.4.1","4373.0","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Food and non-alcoholic beverages","Dollars","81","millions","6","v1039061606","3.4.2","320.1","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Alcoholic beverages and tobacco","Dollars","81","millions","6","v1039061607","3.4.3","157.2","","","","1"
